;codigo_VU;raz_social;nombre;rubro;ciiu6;ciiu4;region;provincia;comuna;coord_este;coord_norte;huso;COD_FUENTE;fuente_emision;COMBUSTIBLE PRIMARIO;EMISION PRIMARIO;COMBUSTIBLE SECUNDARIO;EMISION SECUNDARIO;EMISION MATERIA PRIMA;tipo_contaminante;ton_emision;ORIGEN;Longitud;Latitud
64422;8863;ASOC CHILENA DE SEGURIDAD;ASOC CHILENA DE SEGURIDAD;Otras actividades;Otros servicios de atención de la salud humana prestados por empresas;Otras actividades de atención de la salud humana;Metropolitana de Santiago;Santiago;San Miguel;346897,0;6293550,0;19,0;CA-OR-18601;Caldera Agua Caliente;Gas Licuado de Petróleo;0,0080634579998249;Gas Licuado de Petróleo;0,0;0,0;Carbon monoxide;0,0080634579998249;RUEA;-70,64795714974656;-33,486612602418504
64423;4564;(en blanco);FAENADORA DE CARNES ANGOL;Producción agropecuaria;Actividades de apoyo a la ganadería;Actividades de apoyo a la ganadería;La La Araucanía;Malleco;Angol;702743,0;5814493,0;18,0;CA-OR-24542;Caldera Agua Caliente;Gas Licuado de Petróleo;0,0080634579998249;Gas Licuado de Petróleo;0,0;0,0;Carbon monoxide;0,0080634579998249;RUEA;-72,6973523307788;-37,79445313825793
64430;2976550;SERVICIO DE SALUD VINA DEL MAR QUILLOTA;HOSPITAL PENABLANCA;Otras actividades;Actividades de hospitales y clínicas públicas;Actividades de hospitales públicos y privados;Valparaíso;Marga Marga;Villa Alemana;279885,0;6341693,0;19,0;CA-OR-19113;Caldera Agua Caliente;Gas Licuado de Petróleo;0,0080523359887907;Gas Licuado de Petróleo;0,0;0,0;Carbon monoxide;0,0080523359887907;RUEA;-71,35711268609249;-33,0410473649038
64493;5480000;SERVICIO DE SALUD DEL MAULE HOSPITAL DE;Hospital Cauquenes;Otras actividades;Actividades de hospitales y clínicas públicas;Actividades de hospitales públicos y privados;Maule;Cauquenes;Cauquenes;741196,0;6016485,0;18,0;CA-OR-18420;Caldera Agua Caliente;Leña;0,0080032489124869;Aserrín;0,0;0,0;Benzene;0,0080032489124869;RUEA;-72,32528192755426;-35,96626851718984
64505;323639;CONSTRUCTORA DE PAVIMENTOS ASFALTICOS BITUMIX S.A;PLANTA CONCÓN;Otras industrias manufactureras;Fabricación de otros productos minerales no metálicos n.c.p.;Fabricación de otros productos minerales no metálicos n.c.p.;Valparaíso;Valparaíso;Concón;270065,0;6353633,0;19,0;CF-GEV-8891;Caldera de Fluido Térmico;Petróleo N 2 (Diesel);0,0079877438378602;Gas Licuado de Petróleo;0,0;0,0;Ammonia;0,0079877438378602;RUEA;-71,45920115558455;-32,931412885218386
64547;5440350;FANALOZA S.A.;PLANTA FANALOZA;Otras industrias manufactureras;Fabricación de otros productos de porcelana y de cerámica;Fabricación de otros productos de porcelana y de cerámica;Biobío;Concepción;Penco;679702,0;5932663,0;18,0;IN-GEV-476;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,0079459262889481;Gas Licuado de Petróleo;0,0;0,0;Ammonia;0,0079459262889481;RUEA;-72,9874216711866;-36,73475774474748
64577;11440;ASOC CHILENA DE SEGURIDAD;ASOC CHILENA DE SEGURIDAD;Otras actividades;Otros servicios de atención de la salud humana prestados por empresas;Otras actividades de atención de la salud humana;Metropolitana de Santiago;Santiago;Quilicura;340889,0;6309908,0;19,0;CA-OR-17248;Caldera Agua Caliente;Gas Licuado de Petróleo;0,0079442935958866;Gas Licuado de Petróleo;0,0;0,0;Nitrogen oxides (NOx);0,0079442935958866;RUEA;-70,7097079861196;-33,338256352501155
64604;11428;ASOC CHILENA DE SEGURIDAD;ASOC CHILENA DE SEGURIDAD;Otras actividades;Otros servicios de atención de la salud humana prestados por empresas;Otras actividades de atención de la salud humana;Metropolitana de Santiago;Talagante;Talagante;321198,0;6273080,0;19,0;CA-OR-22915;Caldera Agua Caliente;Gas Licuado de Petróleo;0,0079244328618969;Gas Licuado de Petróleo;0,0;0,0;Carbon monoxide;0,0079244328618969;RUEA;-70,9285483064992;-33,667151742510484
64621;1012;INSTITUTO SANITAS S A;INSTITUTO SANITAS SA;Otras industrias manufactureras;Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos;Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico;Metropolitana de Santiago;Santiago;Pudahuel;336593,0;6304878,0;19,0;IN-GEV-27265;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,0079067089920081;Gas Licuado de Petróleo;0,0;0,0;Ammonia;0,0079067089920081;RUEA;-70,75676273318935;-33,38296089758599
64626;5474734;MUNICIPALIDAD DE LOS ANGELES AREA SALUD;CESFAM ENTRE RIOS;Otras actividades;Actividades de hospitales y clínicas públicas;Actividades de hospitales públicos y privados;Biobío;0;Los Angeles;-37,491735833389;-72,327781697538;18,0;CA-OR-33607;Caldera Agua Caliente;Petróleo N 2 (Diesel);0,0078983590282907;Gas Licuado de Petróleo;0,0;0,0;Carbon monoxide;0,0078983590282907;RUEA;-165,24122324941996;-85,52577817158588
64631;11440;ASOC CHILENA DE SEGURIDAD;ASOC CHILENA DE SEGURIDAD;Otras actividades;Otros servicios de atención de la salud humana prestados por empresas;Otras actividades de atención de la salud humana;Metropolitana de Santiago;Santiago;Quilicura;340889,0;6309908,0;19,0;CA-OR-17257;Caldera Agua Caliente;Gas Licuado de Petróleo;0,0078948624357344;Gas Licuado de Petróleo;0,0;0,0;PM10, primary;0,0078948624357344;RUEA;-70,7097079861196;-33,338256352501155
64632;11440;ASOC CHILENA DE SEGURIDAD;ASOC CHILENA DE SEGURIDAD;Otras actividades;Otros servicios de atención de la salud humana prestados por empresas;Otras actividades de atención de la salud humana;Metropolitana de Santiago;Santiago;Quilicura;340889,0;6309908,0;19,0;CA-OR-17257;Caldera Agua Caliente;Gas Licuado de Petróleo;0,0078948624357344;Gas Licuado de Petróleo;0,0;0,0;PM2.5, primary;0,0078948624357344;RUEA;-70,7097079861196;-33,338256352501155
64652;4370004;MUTUAL DE SEGURIDAD CAMARA CHILENA DE LA CONSTRUCCION;HOSPITAL CLINICA MUTUAL DE SEGURIDAD CCHC;Otras actividades;Actividades de hospitales y clínicas privadas;Actividades de hospitales públicos y privados;Metropolitana de Santiago;Santiago;Estación Central;341748,0;6296775,0;19,0;CA-OR-16659;Caldera Agua Caliente;Gas Natural;0,0078769681374574;Petróleo N 2 (Diesel);1,3694448960528e-07;0,0;Ammonia;0,007877105081947005;RUEA;-70,70278960138288;-33,45678769636566
64653;4370004;MUTUAL DE SEGURIDAD CAMARA CHILENA DE LA CONSTRUCCION;HOSPITAL CLINICA MUTUAL DE SEGURIDAD CCHC;Otras actividades;Actividades de hospitales y clínicas privadas;Actividades de hospitales públicos y privados;Metropolitana de Santiago;Santiago;Estación Central;341748,0;6296775,0;19,0;CA-OR-16786;Caldera Agua Caliente;Gas Natural;0,0078769681374574;Petróleo N 2 (Diesel);1,3694448960528e-07;0,0;Ammonia;0,007877105081947005;RUEA;-70,70278960138288;-33,45678769636566
64691;2007;PANIFICADORA LAS LOMAS DE MAIPU LIMITADA;PANADERIA LAS LOMAS;Otras industrias manufactureras;Elaboración de productos de panadería y pastelería;Elaboración de productos de panadería;Metropolitana de Santiago;Santiago;Cerrillos;339729,0;6291564,0;19,0;HR-OR-725;Horno de Panadería;Aserrín;0,0078166187930967;Petróleo N 2 (Diesel);0,0;0,0;Volatile organic compounds (VOC);0,0078166187930967;RUEA;-70,72543687819535;-33,503467654566116
64815;5440350;FANALOZA S.A.;PLANTA FANALOZA;Otras industrias manufactureras;Fabricación de otros productos de porcelana y de cerámica;Fabricación de otros productos de porcelana y de cerámica;Biobío;Concepción;Penco;679702,0;5932663,0;18,0;HR-PCR-5042;Horno de Cocción;Gas Natural;0,0077717799719729;Gas Licuado de Petróleo;0,0;0,0;PM10, primary;0,0077717799719729;RUEA;-72,9874216711866;-36,73475774474748
64816;5440350;FANALOZA S.A.;PLANTA FANALOZA;Otras industrias manufactureras;Fabricación de otros productos de porcelana y de cerámica;Fabricación de otros productos de porcelana y de cerámica;Biobío;Concepción;Penco;679702,0;5932663,0;18,0;HR-PCR-5042;Horno de Cocción;Gas Natural;0,0077717799719729;Gas Licuado de Petróleo;0,0;0,0;PM2.5, primary;0,0077717799719729;RUEA;-72,9874216711866;-36,73475774474748
64817;5440350;FANALOZA S.A.;PLANTA FANALOZA;Otras industrias manufactureras;Fabricación de otros productos de porcelana y de cerámica;Fabricación de otros productos de porcelana y de cerámica;Biobío;Concepción;Penco;679702,0;5932663,0;18,0;HR-PCR-5042;Horno de Cocción;Gas Natural;0,0077717799719729;Gas Licuado de Petróleo;0,0;0,0;PM, primary;0,0077717799719729;RUEA;-72,9874216711866;-36,73475774474748
64863;5401046;GENDARMERIA DE CHILE DIRECCION REGIONAL COYHAIQUE;CENTRO DETENCION PREVENTIVA CHILE CHICO;Otras actividades;Actividades de mantenimiento del orden público y de seguridad;Actividades de mantenimiento del orden público y de seguridad;Aysén del Gral. Carlos Ibañez del Campo;0;Chile Chico;-46,542948988768;-71,722553757344;19,0;CA-OR-34861;Caldera Agua Caliente;Petróleo N 2 (Diesel);0,0077031275402972;Kerosene;0,0;0,0;Carbon monoxide;0,0077031275402972;RUEA;-159,24114959850715;-85,52569736895023
64879;11452;ASOC CHILENA DE SEGURIDAD;ASOC CHILENA DE SEGURIDAD;Otras actividades;Otros servicios de atención de la salud humana prestados por empresas;Otras actividades de atención de la salud humana;Metropolitana de Santiago;Melipilla;Melipilla;294535,0;6270586,0;19,0;CA-OR-22956;Caldera Agua Caliente;Gas Licuado de Petróleo;0,0076927242986835;Gas Licuado de Petróleo;0,0;0,0;Carbon monoxide;0,0076927242986835;RUEA;-71,21653506065859;-33,68480882511946
64944;75946;AGRICOLA TARAPACA S.A.;FABRICA ALIMENTOS BALANCEADOS ARICA;Otras industrias manufactureras;Elaboración de piensos preparados para animales;Elaboración de piensos preparados para animales;Arica y Parinacota;Arica;Arica;363319,0;7958196,0;19,0;IN-GEV-11579;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Licuado de Petróleo;0,0067728413027265;Petróleo N 2 (Diesel);0,00087144968321546;0,0;PM10, primary;0,00764429098594196;RUEA;-70,29444200397987;-18,462129669414097
64951;11651;CARLOS CRAMER PRODUCTOS AROMATICOS SACI;PLANTA LUCERNA 4925 CERRILLOS;Industria química, del plástico y caucho;Fabricación de otros productos químicos n.c.p.;Fabricación de otros productos químicos n.c.p.;Metropolitana de Santiago;Santiago;Cerrillos;342013,0;6293791,0;19,0;CA-OR-3992;Caldera Agua Caliente;Gas Natural;0,0076374003175821;Gas Natural;0,0;0,0;PM10, primary;0,0076374003175821;RUEA;-70,70046479216042;-33,483729703621
64952;11651;CARLOS CRAMER PRODUCTOS AROMATICOS SACI;PLANTA LUCERNA 4925 CERRILLOS;Industria química, del plástico y caucho;Fabricación de otros productos químicos n.c.p.;Fabricación de otros productos químicos n.c.p.;Metropolitana de Santiago;Santiago;Cerrillos;342013,0;6293791,0;19,0;CA-OR-3992;Caldera Agua Caliente;Gas Natural;0,0076374003175821;Gas Natural;0,0;0,0;PM2.5, primary;0,0076374003175821;RUEA;-70,70046479216042;-33,483729703621
64953;11651;CARLOS CRAMER PRODUCTOS AROMATICOS SACI;PLANTA LUCERNA 4925 CERRILLOS;Industria química, del plástico y caucho;Fabricación de otros productos químicos n.c.p.;Fabricación de otros productos químicos n.c.p.;Metropolitana de Santiago;Santiago;Cerrillos;342013,0;6293791,0;19,0;CA-OR-3992;Caldera Agua Caliente;Gas Natural;0,0076374003175821;Gas Natural;0,0;0,0;PM, primary;0,0076374003175821;RUEA;-70,70046479216042;-33,483729703621
64970;5467084;MELIFEED SPA;MELIFEED SPA;Otras industrias manufactureras;Elaboración de piensos preparados para animales;Elaboración de piensos preparados para animales;Metropolitana de Santiago;Melipilla;Melipilla;293905,0;6267274,0;19,0;CA-OR-18830;Caldera Agua Caliente;Gas Natural;0,0076190412094771;Petróleo N 2 (Diesel);0,0;0,0;Sulfur dioxide;0,0076190412094771;RUEA;-71,22409638109256;-33,714536304843634
64974;5467084;MELIFEED SPA;MELIFEED SPA;Otras industrias manufactureras;Elaboración de piensos preparados para animales;Elaboración de piensos preparados para animales;Metropolitana de Santiago;Melipilla;Melipilla;293905,0;6267274,0;19,0;IN-GEV-19409;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,0076154794631848;Petróleo N 2 (Diesel);0,0;0,0;Sulfur dioxide;0,0076154794631848;RUEA;-71,22409638109256;-33,714536304843634
65025;2921850;ALBIA S.A;ALBIA SA;Otras industrias manufactureras;Reparación de otro tipo de maquinaria y equipos industriales n.c.p.;Reparación de maquinaria;Metropolitana de Santiago;Santiago;Santiago;344192,0;6295424,0;19,0;IN-GEV-17184;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,0075762642409206;Petróleo N 2 (Diesel);0,0;0,0;Sulfur dioxide;0,0075762642409206;RUEA;-70,67673663286313;-33,46932642944587
65052;5473635;ALIMENTOS FINOS RILA CHILE LIMITADA;ALIMENTOS FINOS RILA CHILE LTDA;Otras industrias manufactureras;Elaboración de otros productos alimenticios n.c.p.;Elaboración de otros productos alimenticios n.c.p.;Arica y Parinacota;Arica;Arica;363635,0;7965308,0;19,0;CA-OR-19226;Caldera Agua Caliente;Gas Licuado de Petróleo;0,0037745324947456;Gas Licuado de Petróleo;0,0037745324947456;0,0;Carbon monoxide;0,0075490649894912;RUEA;-70,29097009741314;-18,39788656185295
65080;245099;MASISA S.A.;PLANTA MAPAL;Industria de la madera y Silvicultura;Fabricación de hojas de madera para enchapado y tableros a base de madera;Fabricación de hojas de madera para enchapado y tableros a base de madera;Biobío;Concepción;San Pedro de la Paz;665588,0;5918082,0;18,0;IN-GEV-7822;Caldera Industrial (Generadora de Vapor o Agua Caliente);Biomasa Combustible;0,0049093152991061;Viruta, Despuntes;0,0026248722396132;0,0;Lead;0,0075341875387192996;RUEA;-73,14224185603885;-36,86870015275934
65083;171;VINEDOS FAMILIA CHADWICK SPA;VIÑA ERRAZURIZ S.A.;Otras industrias manufactureras;Elaboración de vinos;Elaboración de vinos;Valparaíso;San Felipe de Aconcagua;Panquehue;328896,0;6369571,0;19,0;CA-OR-12480;Caldera Agua Caliente;Gas Licuado de Petróleo;0,0075317021400154;Gas Licuado de Petróleo;0,0;0,0;Carbon monoxide;0,0075317021400154;RUEA;-70,827366663051;-32,79851512075412
65172;11643;AGUAS ANDINAS S A;PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS LA FARFANA;Plantas de tratamiento de aguas servidas;Evacuación y tratamiento de aguas servidas;Evacuación de aguas residuales;Metropolitana de Santiago;Santiago;Maipú;333087,0;6295959,0;19,0;CA-OR-10562;Caldera Agua Caliente;Petróleo N 2 (Diesel);0,0074691807038882;Gas Natural;0,0;0,0;Carbon monoxide;0,0074691807038882;RUEA;-70,79609472636203;-33,46282941620532
65199;5441787;ENGIE ENERGIA CHILE S.A.;CENTRAL TERMICA TOCOPILLA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Tocopilla;Tocopilla;374777,0;7556040,0;19,0;CG-GEV-9786;Caldera de Generación Eléctrica;Carbón Sub Bituminoso;0,0074508683849937;Petróleo N 2 (Diesel);4,8365772080941e-10;0,0;Lead;0,007450868868651421;RUEA;-70,21390995012625;-22,096073044593545
65208;2939;CONSERVAS LOS ANGELES LIMITADA;CONSERVAS LOS ANGELES;Otras industrias manufactureras;Elaboración y conservación de frutas, legumbres y hortalizas;Elaboración y conservación de frutas, legumbres y hortalizas;Biobío;Biobío;Los Angeles;735216,0;5849764,0;18,0;IN-GEV-13472;Caldera Industrial (Generadora de Vapor o Agua Caliente);Petróleo N 5;0,0074398791479289;Petróleo N 2 (Diesel);0,0;0,0;Ammonia;0,0074398791479289;RUEA;-72,34023297989778;-37,46910164530755
65294;9778;SOCIEDAD ELECTRICA SANTIAGO SPA;RENCA NUEVA RENCA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Metropolitana de Santiago;Santiago;Renca;343113,0;6301246,0;19,0;TG-GEV-4932;Turbina de Gas;Gas Natural;0,0;Petróleo N 2 (Diesel);0,0073974970598567;0,0;Lead;0,0073974970598567;RUEA;-70,68732720849435;-33,41667879801242
65348;2438;SOC PROCESADORA DE LECHE DEL SUR S A;PLANTA OSORNO;Otras industrias manufactureras;Elaboración de productos lácteos;Elaboración de productos lácteos;Los Lagos;Osorno;Osorno;656490,0;5509722,0;18,0;IN-GEV-19414;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,0073751564329507;Gas Licuado de Petróleo;0,0;0,0;Ammonia;0,0073751564329507;RUEA;-73,15187747895337;-40,54848835180388
65355;75946;AGRICOLA TARAPACA S.A.;FABRICA ALIMENTOS BALANCEADOS ARICA;Otras industrias manufactureras;Elaboración de piensos preparados para animales;Elaboración de piensos preparados para animales;Arica y Parinacota;Arica;Arica;363319,0;7958196,0;19,0;IN-GEV-11579;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Licuado de Petróleo;0,0067728413027265;Petróleo N 2 (Diesel);0,0005872813082539;0,0;PM2.5, primary;0,0073601226109804;RUEA;-70,29444200397987;-18,462129669414097
65366;5462327;COOP AGRICOLA Y LECHERA DE LA UNION LTDA;PLANTA CRUCE LOS TAMBORES;Otras industrias manufactureras;Elaboración de productos lácteos;Elaboración de productos lácteos;Los Ríos;Ranco;La Unión;670996,0;5535098,0;18,0;IN-GEV-11047;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,0;Petróleo N 2 (Diesel);0,0073440180052053;0,0;Nitrogen oxides (NOx);0,0073440180052053;RUEA;-72,9874859742274;-40,31714784303455
65376;5441369;AES GENER S A;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Tocopilla;Tocopilla;375154,0;7556098,0;19,0;CG-GEV-19959;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;0,0;Petróleo N 2 (Diesel);0,0073393687397832;0,0;Volatile organic compounds (VOC);0,0073393687397832;RUEA;-70,21025147438527;-22,095576264881107
65378;11456;AISLAPOL S.A;AISLAPOL S.A.;Industria química, del plástico y caucho;Fabricación de otros productos químicos n.c.p.;Fabricación de otros productos químicos n.c.p.;Metropolitana de Santiago;Santiago;Quinta Normal;343174,0;6300396,0;19,0;IN-GEV-24052;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,0073230801870547;Petróleo N 2 (Diesel);1,4876279905822e-05;0,0;Sulfur dioxide;0,007337956466960522;RUEA;-70,68681962205768;-33,4243511882505
65394;633;CIA SIDERURGICA HUACHIPATO S A;COMPAÑÍA SIDERÚRGICA HUACHIPATO;Otras industrias manufactureras;Industrias básicas de hierro y acero;Industrias básicas de hierro y acero;Biobío;Concepción;Talcahuano;667342,0;5931035,0;18,0;IN-GEV-3436;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas de Alto Horno;0,0;Petróleo N 6;0,0073220414578345;0,0;Sulfur dioxide;0,0073220414578345;RUEA;-73,1254213927588;-36,75168609028725
65426;5462091;KUDEN S A;ENJOY PUCON HOTEL Y CASINO;Otras actividades;Actividades de casinos de juegos;Actividades de juegos de azar y apuestas;La La Araucanía;Cautín;Pucón;243130,0;5648783,0;19,0;CA-OR-28190;Caldera Agua Caliente;Petróleo N 2 (Diesel);0,0072794555255808;Biomasa Combustible;0,0;0,0;Carbon monoxide;0,0072794555255808;RUEA;-71,97762564141011;-39,27225549038656
65430;5453438;PRODUCTOS FERNANDEZ SA;PRODUCTOS FERNANDEZ SA PLANTA 2;Otras industrias manufactureras;Elaboración y conservación de carne y productos cárnicos;Elaboración y conservación de carne;Maule;Talca;Talca;260604,0;6076989,0;19,0;IN-GEV-9618;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,0072255600116115;Petróleo N 2 (Diesel);5,2194594816628e-05;0,0;Sulfur dioxide;0,007277754606428127;RUEA;-71,63676498752724;-35,42176637262819
65462;4592462;PURATOS DE CHILE SPA;PURATOS DE CHILE SPA;Otras industrias manufactureras;Elaboración de productos de panadería y pastelería;Elaboración de productos de panadería;Metropolitana de Santiago;Santiago;Cerrillos;340525,0;6289195,0;19,0;IN-GEV-27762;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,007245983551306;Gas Licuado de Petróleo;0,0;0,0;Ammonia;0,007245983551306;RUEA;-70,71729273985781;-33,52494456732575
65513;5457956;SERVICIO DE SALUD DE TALCAHUANO HOSPITAL;HOSPITAL LAS HIGUERAS;Otras actividades;Actividades de hospitales y clínicas públicas;Actividades de hospitales públicos y privados;Biobío;Concepción;Talcahuano;668843,0;5932235,0;18,0;CA-OR-17888;Caldera Agua Caliente;Gas Natural;0,0072331277740376;Petróleo N 2 (Diesel);0,0;0,0;PM10, primary;0,0072331277740376;RUEA;-73,10888075243236;-36,740608187251645
65514;5457956;SERVICIO DE SALUD DE TALCAHUANO HOSPITAL;HOSPITAL LAS HIGUERAS;Otras actividades;Actividades de hospitales y clínicas públicas;Actividades de hospitales públicos y privados;Biobío;Concepción;Talcahuano;668843,0;5932235,0;18,0;CA-OR-17888;Caldera Agua Caliente;Gas Natural;0,0072331277740376;Petróleo N 2 (Diesel);0,0;0,0;PM2.5, primary;0,0072331277740376;RUEA;-73,10888075243236;-36,740608187251645
65515;5457956;SERVICIO DE SALUD DE TALCAHUANO HOSPITAL;HOSPITAL LAS HIGUERAS;Otras actividades;Actividades de hospitales y clínicas públicas;Actividades de hospitales públicos y privados;Biobío;Concepción;Talcahuano;668843,0;5932235,0;18,0;CA-OR-17888;Caldera Agua Caliente;Gas Natural;0,0072331277740376;Petróleo N 2 (Diesel);0,0;0,0;PM, primary;0,0072331277740376;RUEA;-73,10888075243236;-36,740608187251645
65516;5457956;SERVICIO DE SALUD DE TALCAHUANO HOSPITAL;HOSPITAL LAS HIGUERAS;Otras actividades;Actividades de hospitales y clínicas públicas;Actividades de hospitales públicos y privados;Biobío;Concepción;Talcahuano;668843,0;5932235,0;18,0;CA-OR-17892;Caldera Agua Caliente;Gas Natural;0,0072331277740376;Petróleo N 2 (Diesel);0,0;0,0;PM10, primary;0,0072331277740376;RUEA;-73,10888075243236;-36,740608187251645
65517;5457956;SERVICIO DE SALUD DE TALCAHUANO HOSPITAL;HOSPITAL LAS HIGUERAS;Otras actividades;Actividades de hospitales y clínicas públicas;Actividades de hospitales públicos y privados;Biobío;Concepción;Talcahuano;668843,0;5932235,0;18,0;CA-OR-17892;Caldera Agua Caliente;Gas Natural;0,0072331277740376;Petróleo N 2 (Diesel);0,0;0,0;PM2.5, primary;0,0072331277740376;RUEA;-73,10888075243236;-36,740608187251645
65518;5457956;SERVICIO DE SALUD DE TALCAHUANO HOSPITAL;HOSPITAL LAS HIGUERAS;Otras actividades;Actividades de hospitales y clínicas públicas;Actividades de hospitales públicos y privados;Biobío;Concepción;Talcahuano;668843,0;5932235,0;18,0;CA-OR-17892;Caldera Agua Caliente;Gas Natural;0,0072331277740376;Petróleo N 2 (Diesel);0,0;0,0;PM, primary;0,0072331277740376;RUEA;-73,10888075243236;-36,740608187251645
65519;5457956;SERVICIO DE SALUD DE TALCAHUANO HOSPITAL;HOSPITAL LAS HIGUERAS;Otras actividades;Actividades de hospitales y clínicas públicas;Actividades de hospitales públicos y privados;Biobío;Concepción;Talcahuano;668843,0;5932235,0;18,0;CA-OR-17900;Caldera Agua Caliente;Gas Natural;0,0072331277740376;Petróleo N 2 (Diesel);0,0;0,0;PM10, primary;0,0072331277740376;RUEA;-73,10888075243236;-36,740608187251645
65520;5457956;SERVICIO DE SALUD DE TALCAHUANO HOSPITAL;HOSPITAL LAS HIGUERAS;Otras actividades;Actividades de hospitales y clínicas públicas;Actividades de hospitales públicos y privados;Biobío;Concepción;Talcahuano;668843,0;5932235,0;18,0;CA-OR-17900;Caldera Agua Caliente;Gas Natural;0,0072331277740376;Petróleo N 2 (Diesel);0,0;0,0;PM2.5, primary;0,0072331277740376;RUEA;-73,10888075243236;-36,740608187251645
65521;5457956;SERVICIO DE SALUD DE TALCAHUANO HOSPITAL;HOSPITAL LAS HIGUERAS;Otras actividades;Actividades de hospitales y clínicas públicas;Actividades de hospitales públicos y privados;Biobío;Concepción;Talcahuano;668843,0;5932235,0;18,0;CA-OR-17900;Caldera Agua Caliente;Gas Natural;0,0072331277740376;Petróleo N 2 (Diesel);0,0;0,0;PM, primary;0,0072331277740376;RUEA;-73,10888075243236;-36,740608187251645
65540;386474;HOSPITAL NAVAL ALMIRANTE NEF;HOSPITAL NAVAL ALMIRANTE NEF;Otras actividades;Actividades de hospitales y clínicas públicas;Actividades de hospitales públicos y privados;Valparaíso;Valparaíso;Viña del Mar;262383,0;6345782,0;19,0;CA-OR-31476;Caldera Agua Caliente;Gas Natural;3,8917927894197e-06;Petróleo N 2 (Diesel);0,0072097850164942;0,0;Ammonia;0,00721367680928362;RUEA;-71,54332052491735;-33,00051900183411
65552;1547607;EMPRESA ELECTRICA DE MAGALLANES S A;CENTRAL PORVENIR;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Magallanes y de la Antártica Chilena;Tierra del Fuego;Porvenir;407965,0;4094377,0;19,0;MG-GEV-7268;Motor Generación Eléctrica;Petróleo N 2 (Diesel);0,0071978048386545;Gas Natural;0,0;0,0;Benzene;0,0071978048386545;RUEA;-70,38076315384443;-53,29181980769347
65558;245136;MOLIBDENOS Y METALES S A;MOLYMETNOS;Minería;Extracción de otros minerales metalíferos no ferrosos n.c.p. (excepto zinc, plomo y manganeso);Extracción de otros minerales metalíferos no ferrosos, excepto cobre;Metropolitana de Santiago;Maipo;San Bernardo;342350,0;6277155,0;19,0;HR-PMM-2302;Horno Calcinadores;Gas Natural;0,0071965317084178;Gas Licuado de Petróleo;0,0;0,0;Ammonia;0,0071965317084178;RUEA;-70,69977515737295;-33,633762792373304
65590;5214464;URCELAY HERMANOS S.A.;SOCIEDAD AGRICOLA COMERCIAL E INDUSTRIAL URCELAY HERMANOS LIMITADA;Otras industrias manufactureras;Elaboración de vinos;Elaboración de vinos;Libertador Gral. Bernardo O'Higgins;Cachapoal;Olivar;326393,0;6210887,0;19,0;IN-GEV-31661;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,0071737915444861;Petróleo N 2 (Diesel);0,0;0,0;PM10, primary;0,0071737915444861;RUEA;-70,88486423883724;-34,228629165859914
65591;5214464;URCELAY HERMANOS S.A.;SOCIEDAD AGRICOLA COMERCIAL E INDUSTRIAL URCELAY HERMANOS LIMITADA;Otras industrias manufactureras;Elaboración de vinos;Elaboración de vinos;Libertador Gral. Bernardo O'Higgins;Cachapoal;Olivar;326393,0;6210887,0;19,0;IN-GEV-31661;Caldera Industrial (Generadora de Vapor o Agua Caliente);Gas Natural;0,0071737915444861;Petróleo N 2 (Diesel);0,0;0,0;PM2.5, primary;0,0071737915444861;RUEA;-70,88486423883724;-34,228629165859914
